City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,Svetlogorsk,52.63,29.73,60.96,97,99,3.89,BY,2020-09-06 23:03:16
200,Hasaki,35.73,140.83,82.4,88,75,9.17,JP,2020-09-06 23:03:16
201,Puerto Leguizamo,-0.19,-74.78,79.48,77,54,1.01,CO,2020-09-06 23:03:17
202,Jiangyou,31.77,104.72,68.54,74,0,2.68,CN,2020-09-06 23:03:17
203,Codrington,-38.27,141.97,57.22,65,20,23.09,AU,2020-09-06 23:03:17
204,Sao Joao Da Barra,-21.64,-41.05,73.31,84,33,18.99,BR,2020-09-06 23:02:39
205,Marapanim,-0.72,-47.7,77.63,84,11,7.52,BR,2020-09-06 23:03:18
206,Chittaurgarh,24.88,74.63,75.72,86,0,4.74,IN,2020-09-06 23:03:18
207,La Cruz,23.92,-106.9,81.0,84,98,1.99,MX,2020-09-06 23:03:18
208,Guamuchil,25.47,-108.1,89.83,65,10,11.7,MX,2020-09-06 23:03:18
209,Asfi,32.3,-9.24,73.71,72,0,9.64,MA,2020-09-06 23:03:18
210,Kenora,49.82,-94.43,60.8,48,75,28.86,CA,2020-09-06 23:00:52
211,Vardo,70.37,31.11,48.2,87,62,9.17,NO,2020-09-06 23:03:19
212,Klaeng,12.78,101.65,84.99,10,50,2.59,TH,2020-09-06 23:03:19
213,Napier,-39.48,176.92,52.0,78,93,18.99,NZ,2020-09-06 23:03:04
214,Tura,25.52,90.22,74.01,97,100,4.79,IN,2020-09-06 23:03:19
215,Malinyi,-8.93,36.13,71.73,48,42,0.81,TZ,2020-09-06 23:03:19
216,Lewiston,44.1,-70.21,69.8,56,1,6.93,US,2020-09-06 23:03:20
217,Pemangkat,1.17,108.97,76.28,84,100,4.29,ID,2020-09-06 23:03:20
218,Saskylakh,71.92,114.08,41.38,78,64,5.01,RU,2020-09-06 23:03:20
219,Severo-Kurilsk,50.68,156.12,56.86,90,100,5.64,RU,2020-09-06 23:03:20
220,Bilibino,68.05,166.44,41.79,65,0,3.74,RU,2020-09-06 23:03:21
221,Puerto Escondido,15.85,-97.07,77.0,65,90,9.17,MX,2020-09-06 23:03:21
222,Port Blair,11.67,92.75,82.09,82,100,9.48,IN,2020-09-06 23:03:21
223,Grindavik,63.84,-22.43,50.0,100,90,14.99,IS,2020-09-06 23:03:21
224,Sabha,27.04,14.43,84.6,22,0,13.04,LY,2020-09-06 23:03:22
225,Presidente Medici,-11.18,-61.9,88.05,21,5,1.61,BR,2020-09-06 23:03:22
226,Shahreza,32.03,51.88,57.96,31,0,1.63,IR,2020-09-06 23:03:23
227,Slave Lake,55.28,-114.77,51.8,71,90,11.41,CA,2020-09-06 22:59:49
228,Derzhavinsk,51.1,66.32,49.6,71,29,9.98,KZ,2020-09-06 23:03:23
229,East London,-33.02,27.91,63.16,82,100,3.6,ZA,2020-09-06 23:00:01
230,Airai,-8.93,125.41,62.96,54,21,3.76,TL,2020-09-06 23:03:23
231,Indiaroba,-11.52,-37.51,70.38,88,6,2.82,BR,2020-09-06 23:03:24
232,Moron,-34.65,-58.62,53.01,71,2,8.05,AR,2020-09-06 23:03:24
233,Saint George,37.1,-113.58,109.4,6,1,18.34,US,2020-09-06 22:59:38
234,Tamandare,-8.76,-35.1,73.72,79,8,8.66,BR,2020-09-06 23:01:47
235,Takoradi,4.88,-1.76,74.53,89,39,7.96,GH,2020-09-06 23:03:24
236,Khasan,42.43,130.64,62.55,91,100,11.01,RU,2020-09-06 23:03:25
237,Nouadhibou,20.93,-17.03,80.6,61,100,12.75,MR,2020-09-06 23:03:25
238,Talnakh,69.49,88.4,42.8,100,40,6.71,RU,2020-09-06 23:03:25
239,Comodoro Rivadavia,-45.87,-67.5,51.8,57,0,2.24,AR,2020-09-06 23:03:25
240,Walvis Bay,-22.96,14.51,54.0,93,0,9.17,NA,2020-09-06 23:03:26
241,Nanortalik,60.14,-45.24,44.4,93,100,7.87,GL,2020-09-06 23:03:26
242,Chapais,49.78,-74.85,55.4,66,40,4.7,CA,2020-09-06 23:03:26
243,Kruisfontein,-34.0,24.73,53.01,93,0,3.33,ZA,2020-09-06 23:03:26
244,Sao Felix Do Xingu,-6.64,-51.99,88.12,24,50,1.05,BR,2020-09-06 23:03:26
245,Westport,41.14,-73.36,75.0,68,72,8.1,US,2020-09-06 23:02:38
246,Agadir,30.42,-9.6,68.0,88,0,5.82,MA,2020-09-06 23:03:27
247,Iglesias,39.31,8.54,73.0,94,5,4.7,IT,2020-09-06 23:03:27
248,Harper,4.38,-7.72,76.51,84,97,8.75,LR,2020-09-06 23:03:27
249,Turukhansk,65.82,87.98,38.79,89,69,3.13,RU,2020-09-06 23:03:28
250,Bulgan,48.81,103.53,44.69,93,21,1.97,MN,2020-09-06 23:03:28
251,Cholet,47.17,-1.0,54.0,80,9,3.27,FR,2020-09-06 23:03:28
252,Mutis,6.23,-77.4,76.75,85,100,9.19,CO,2020-09-06 23:03:28
253,Mardin,37.31,40.74,74.73,23,0,2.51,TR,2020-09-06 23:03:28
254,Hondo,32.45,130.2,75.2,88,75,32.21,JP,2020-09-06 23:03:29
255,Shangqiu,34.45,115.65,69.94,74,0,4.45,CN,2020-09-06 23:03:29
256,Marzuq,14.4,46.47,79.12,50,45,3.47,YE,2020-09-06 23:03:29
257,Carutapera,-1.2,-46.02,77.32,80,60,7.11,BR,2020-09-06 23:03:30
258,Noumea,-22.28,166.46,73.99,73,100,3.36,NC,2020-09-06 23:03:30
259,Upala,10.9,-85.01,82.4,83,75,5.82,CR,2020-09-06 23:00:19
260,Iisalmi,63.56,27.19,51.8,93,87,5.82,FI,2020-09-06 23:03:31
261,Tazmalt,36.39,4.4,71.6,78,40,3.36,DZ,2020-09-06 23:03:31
262,Storm Lake,42.64,-95.21,89.6,27,1,9.17,US,2020-09-06 23:03:31
263,Tabas,33.6,56.92,80.6,14,0,6.93,IR,2020-09-06 23:03:31
264,Kolyvan,55.31,82.74,44.6,93,75,4.47,RU,2020-09-06 23:03:32
265,Paamiut,61.99,-49.67,44.47,94,100,5.39,GL,2020-09-06 23:03:32
266,Aswan,24.09,32.91,94.91,22,26,10.02,EG,2020-09-06 23:03:32
267,Xining,36.62,101.77,50.02,73,0,2.42,CN,2020-09-06 23:00:39
268,Buala,-8.14,159.59,84.67,69,24,7.0,SB,2020-09-06 23:03:33
269,College,64.86,-147.8,60.01,51,40,9.17,US,2020-09-06 23:02:30
270,Collie,-33.37,116.15,53.01,62,20,6.6,AU,2020-09-06 23:03:33
271,Mahanje,-9.93,35.33,57.67,66,22,2.19,TZ,2020-09-06 23:03:33
272,Thinadhoo,0.53,72.93,82.54,73,100,7.78,MV,2020-09-06 23:03:33
273,Namibe,-15.2,12.15,67.1,89,62,2.35,AO,2020-09-06 23:03:34
274,Hvolsvollur,63.75,-20.22,51.8,93,90,23.04,IS,2020-09-06 23:03:34
275,Bandarbeyla,9.49,50.81,75.67,79,84,28.5,SO,2020-09-06 23:03:34
276,Kurilsk,45.23,147.88,68.5,89,81,3.15,RU,2020-09-06 23:03:34
277,Pedro Ii,-4.42,-41.46,76.05,35,33,4.79,BR,2020-09-06 23:03:35
278,Iralaya,15.0,-83.23,80.6,88,90,11.41,HN,2020-09-06 23:03:35
279,Sao Paulo De Olivenca,-3.38,-68.87,82.94,63,59,1.68,BR,2020-09-06 23:03:35
280,Katherine,-14.47,132.27,73.4,40,87,4.7,AU,2020-09-06 23:03:35
281,Hofn,64.25,-15.21,52.07,92,97,14.63,IS,2020-09-06 23:03:36
282,Laurel,39.1,-76.85,79.0,64,1,4.7,US,2020-09-06 23:03:36
283,Genhe,50.78,121.52,51.55,89,0,0.49,CN,2020-09-06 23:03:36
284,Narsaq,60.92,-46.05,44.6,87,98,1.12,GL,2020-09-06 23:03:36
285,Shaunavon,49.65,-108.42,58.73,50,100,13.58,CA,2020-09-06 23:03:37
286,Yuli,9.7,10.27,72.54,93,72,1.9,NG,2020-09-06 23:03:37
287,Uravakonda,14.95,77.27,79.29,78,8,4.56,IN,2020-09-06 23:03:37
288,Celestun,20.87,-90.4,85.41,69,34,17.07,MX,2020-09-06 23:03:37
289,Jumla,29.27,82.18,57.06,66,1,3.18,NP,2020-09-06 23:01:11
290,Avera,33.19,-82.53,86.0,35,1,5.82,US,2020-09-06 23:03:38
291,Yazman,29.12,71.74,91.0,46,0,8.34,PK,2020-09-06 23:03:38
292,Feltre,46.02,11.91,71.01,86,4,3.74,IT,2020-09-06 23:03:38
293,Murwillumbah,-28.32,153.4,71.01,68,90,11.41,AU,2020-09-06 23:03:25
294,Vittoria,36.95,14.53,73.4,83,5,3.36,IT,2020-09-06 23:03:39
295,Basco,20.45,121.97,83.53,67,58,8.93,PH,2020-09-06 23:03:39
296,Pirovskoye,57.63,92.27,43.75,97,98,6.89,RU,2020-09-06 23:03:39
297,Cherskiy,68.75,161.3,47.61,53,75,13.94,RU,2020-09-06 23:03:39
298,Arica,-18.48,-70.3,60.8,77,40,8.05,CL,2020-09-06 23:01:51
299,Mahebourg,-20.41,57.7,69.8,88,75,5.82,MU,2020-09-06 23:03:40
300,Anjozorobe,-18.4,47.87,55.4,76,75,8.05,MG,2020-09-06 23:03:40
301,Mopti,14.67,-4.0,82.26,68,57,7.16,ML,2020-09-06 23:03:40
302,Kibaha,-6.77,38.92,69.96,88,22,4.81,TZ,2020-09-06 23:03:41
303,Salina,38.84,-97.61,100.4,27,1,23.04,US,2020-09-06 23:03:41
304,High Level,58.52,-117.14,57.2,54,75,9.17,CA,2020-09-06 23:03:41
305,Arman,59.7,150.17,50.41,75,98,1.36,RU,2020-09-06 23:03:41
