City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Ust-Ishim,RU,2020-09-01 04:02:11,57.69,71.17,60.31,72,97,10.8
218,Oiba,CO,2020-09-01 04:02:12,6.26,-73.3,63.25,93,99,0.83
219,Egvekinot,RU,2020-09-01 04:02:12,66.32,-179.17,40.69,69,90,10.78
220,Hambantota,LK,2020-09-01 04:02:13,6.12,81.12,82.4,88,90,4.7
221,Amapa,BR,2020-09-01 04:02:13,1.0,-52.0,70.92,94,4,1.92
222,Evensk,RU,2020-09-01 04:02:14,61.95,159.23,53.89,71,73,8.99
223,East London,ZA,2020-09-01 04:02:14,-33.02,27.91,59.63,69,98,14.12
224,Talnakh,RU,2020-09-01 04:02:14,69.49,88.4,44.6,100,90,13.42
225,Saint-Denis,FR,2020-09-01 04:02:15,48.92,2.33,54.0,93,0,2.24
226,Bambous Virieux,MU,2020-09-01 04:02:15,-20.34,57.76,73.0,83,75,11.41
227,Novonikolsk,RU,2020-09-01 04:02:15,43.85,131.86,71.6,68,75,17.9
228,Novikovo,RU,2020-09-01 04:02:16,51.15,37.89,65.86,51,0,5.93
229,Cao Bang,VN,2020-09-01 04:02:16,22.67,106.25,94.78,46,1,0.78
230,Weiser,US,2020-09-01 04:02:16,44.25,-116.97,66.99,37,1,5.82
231,Atambua,ID,2020-09-01 04:02:17,-9.11,124.89,86.49,48,12,4.43
232,Torbay,CA,2020-09-01 04:02:18,47.67,-52.73,53.01,93,90,13.87
233,Korla,CN,2020-09-01 04:02:18,41.76,86.15,83.01,17,89,10.07
234,Ancud,CL,2020-09-01 04:02:18,-41.87,-73.82,43.0,73,0,4.0
235,Kristinehamn,SE,2020-09-01 04:02:19,59.31,14.11,44.6,100,2,6.93
236,Chipata,ZM,2020-09-01 04:02:19,-13.63,32.65,58.59,80,0,7.4
237,Nantucket,US,2020-09-01 03:58:57,41.28,-70.1,60.8,82,1,4.7
238,Depalpur,IN,2020-09-01 04:02:19,22.85,75.55,75.2,94,40,5.82
239,Itapirapua,BR,2020-09-01 04:02:20,-15.82,-50.61,73.02,30,0,5.35
240,Tateyama,JP,2020-09-01 04:01:49,34.98,139.87,84.0,78,75,16.11
241,Carnarvon,AU,2020-09-01 04:02:21,-24.87,113.63,69.8,64,40,19.46
242,Gannan,CN,2020-09-01 04:02:21,47.91,123.5,73.31,64,0,5.79
243,Pueblo,US,2020-09-01 04:00:01,38.25,-104.61,71.6,43,40,9.17
244,Yar-Sale,RU,2020-09-01 04:02:21,66.83,70.83,48.78,77,100,10.92
245,Chapais,CA,2020-09-01 04:02:22,49.78,-74.85,51.8,76,20,9.17
246,Bay-Khaak,RU,2020-09-01 04:02:22,51.17,94.5,65.41,45,0,2.98
247,Khasan,RU,2020-09-01 04:02:22,42.43,130.64,69.01,86,98,12.17
248,Ambon,ID,2020-09-01 04:02:23,-3.7,128.18,87.8,66,40,8.05
249,Kodiak,US,2020-09-01 04:00:44,57.79,-152.41,59.0,62,1,12.75
250,Saint Anthony,US,2020-09-01 04:02:24,45.02,-93.22,64.4,67,1,5.28
251,Sao Jose Da Coroa Grande,BR,2020-09-01 04:02:24,-8.9,-35.15,73.6,79,3,11.27
252,Wete,TZ,2020-09-01 04:02:25,-5.06,39.73,73.96,84,11,8.55
253,Qaanaaq,GL,2020-09-01 04:02:25,77.48,-69.36,26.92,83,75,5.55
254,Urengoy,RU,2020-09-01 04:02:25,65.97,78.37,51.84,80,67,16.58
255,Tezu,IN,2020-09-01 04:02:26,27.92,96.17,84.7,71,75,0.89
256,Fuerte Olimpo,PY,2020-09-01 04:02:26,-21.04,-57.87,71.13,66,0,7.7
257,Nanortalik,GL,2020-09-01 04:02:27,60.14,-45.24,42.49,90,96,8.59
